id,created_at,name,slug,updated_at,url,checksum,companies,logo,platforms
1557,1696632051,FrooxEngine,frooxengine,1696853658,https://www.igdb.com/game_engines/frooxengine,043b1440-6f65-4f4e-c33e-594964353650,[49954],,
215,1428810764,ASKA,aska,1467839892,https://www.igdb.com/game_engines/aska,d1dc8073-8664-f944-3b9e-cea6fdcd6a18,,,
1225,1618480784,PokeSDK,pokesdk,1618488960,https://www.igdb.com/game_engines/pokesdk,be8f0816-074c-0ee0-04ff-9c9d30ed89dd,,,
1304,1628359725,web,web,1718178099,https://www.igdb.com/game_engines/web,b08e8ea6-32f8-4018-90bd-13967018228b,,,
145,1419511656,GrimE,grime,1444724891,https://www.igdb.com/game_engines/grime,1b5ff03b-0555-a90b-4cdd-bc05340f4f63,,,"[6, 8, 14]"
1345,1632694905,GDevelop,gdevelop,1725912300,https://www.igdb.com/game_engines/gdevelop,0c20eafe-fbc1-056b-3fdf-3db975205c90,,0.0,"[3, 6, 14, 34, 82]"
1629,1718155796,Max-A-Flex,max-a-flex,1718238274,https://www.igdb.com/game_engines/max-a-flex,03085816-e8e4-1598-fbb9-abdcde8be0dc,,,
1679,1724183715,Story Machine,story-machine,1724314928,https://www.igdb.com/game_engines/story-machine,0a3f2553-ee02-b3f6-9026-dc4b2b94c1a1,,0.0,
815,1576954608,Messiah Engine,messiah-engine,1658286005,https://www.igdb.com/game_engines/messiah-engine,be8e610f-eee4-8eec-3847-19be209cca04,,,
764,1574257370,FluffOS,fluffos,1671166289,https://www.igdb.com/game_engines/fluffos,2fbfd0bd-4c34-82a4-236f-1c5f81142cd7,,,
508,1504796452,Alternativa Engine,alternativa-engine,1504800805,https://www.igdb.com/game_engines/alternativa-engine,c4a462b1-39cc-da93-f549-5697f37d5013,,,
446,1489856440,Icarus Platform,icarus-platform,1489856466,https://www.igdb.com/game_engines/icarus-platform,fe3b5f93-31fe-6e60-f0d3-fd3778a6c2b1,,,
740,1566272117,Touch Video,touch-video,1566281464,https://www.igdb.com/game_engines/touch-video,05114983-6ec0-3679-22ba-9fa3b1397a57,,,
756,1573671369,SeriousProton,seriousproton,1573681415,https://www.igdb.com/game_engines/seriousproton,6889be68-9c13-91ab-ac21-8603a42284e5,,,
511,1506960741,Genesis3D,genesis3d,1720745295,https://www.igdb.com/game_engines/genesis3d,db0009a2-85fe-6400-21c9-4431d3970075,,,
228,1430248488,Prometheus In-Game Engine,prometheus-in-game-engine,1709377630,https://www.igdb.com/game_engines/prometheus-in-game-engine,7d0d4faa-3024-0e8a-388b-4d3b15ea9ccb,,,
110,1415176033,Labyrinth Engine,labyrinth-engine,1415204737,https://www.igdb.com/game_engines/labyrinth-engine,00861dc7-6eb5-aec8-eff4-742f606f39fe,,,
571,1526113185,broww,broww,1526171423,https://www.igdb.com/game_engines/broww,33d43555-b432-e77e-f679-9e9b28d42068,,,
223,1429534722,Beautiful Voxel,beautiful-voxel,1429550952,https://www.igdb.com/game_engines/beautiful-voxel,ad662bc1-e747-47a1-a0e5-b73e0f944494,,,
248,1434700603,StarLancer Engine,starlancer-engine,1434705400,https://www.igdb.com/game_engines/starlancer-engine,4ca0cbcc-06ee-622b-c9ba-92f302934b72,,,
388,1473844488,download,download,1473844488,https://www.igdb.com/game_engines/download,89707539-3204-a20e-66a4-c314803ed6f1,,,
161,1421667753,STEAM engine,steam-engine,1642104258,https://www.igdb.com/game_engines/steam-engine,a592d1cf-8fb0-9a79-e74c-e5d350388efd,,,
1183,1612137600,COLDc,coldc,1612137600,https://www.igdb.com/game_engines/coldc,64ec74d9-69ba-4729-c1ec-cbdd2b1816c5,,,
210,1428777790,Visceral Engine,visceral-engine,1633124941,https://www.igdb.com/game_engines/visceral-engine,c85e5ab2-1715-fea6-19a4-e46434b052b2,,,
1157,1609804800,Dæmon,daemon,1609891200,https://www.igdb.com/game_engines/daemon,9c369a2e-ef34-ca18-5610-c69d71cd5da7,,,
392,1475390183,001,001,1507316808,https://www.igdb.com/game_engines/001,41e3f89e-633b-b085-bc16-5304a494e038,,,
1343,1632340481,Super Mario Bros. S,super-mario-bros-s,1637801866,https://www.igdb.com/game_engines/super-mario-bros-s,b437aace-5741-0a6c-a02b-3efd77cd92af,,,
615,1546077889,Sensible Soccer,sensible-soccer,1546099013,https://www.igdb.com/game_engines/sensible-soccer,05058678-3937-2fe4-0f04-506514b47fc2,,,
671,1554778299,The Creator Engine,the-creator-engine,1554788220,https://www.igdb.com/game_engines/the-creator-engine,67a5a44c-cbfe-949a-6499-63799a4b5fa5,,,
672,1554809980,Voyager Engine,voyager-engine,1554927517,https://www.igdb.com/game_engines/voyager-engine,952ca782-321e-8334-f16e-6687407f948b,,,
150,1420453624,Onyx Engine,onyx-engine,1427630922,https://www.igdb.com/game_engines/onyx-engine,cccea8d2-415b-94b4-7fb0-3d57a055c2f3,,,
160,1421209675,Autodesk,autodesk,1432678576,https://www.igdb.com/game_engines/autodesk,fbe09bf0-6314-4d77-a60f-e842f9fd8592,,,
142,1419160003,AGI,agi,1692294775,https://www.igdb.com/game_engines/agi,1a7ef779-a516-9c0b-94cb-64d0501ecbe0,,,
1221,1617750086,Strikeout,strikeout,1617753344,https://www.igdb.com/game_engines/strikeout,2552be79-df55-1849-a06a-cbdc2debef39,,,
450,1490276672,Dulst,dulst,1490335373,https://www.igdb.com/game_engines/dulst,ec9f1098-4eac-524c-e20e-00b31ce64909,,,
678,1554851196,Unchained Engine,unchained-engine,1554878329,https://www.igdb.com/game_engines/unchained-engine,31089141-ab87-4c97-390b-175a87753f41,,,
694,1557312882,nine-gine,nine-gine,1557318313,https://www.igdb.com/game_engines/nine-gine,9e498927-70e8-bb04-8c76-f63d80bc56df,,,
183,1424743341,RAD Engine 4.0,rad-engine-4-dot-0,1554994279,https://www.igdb.com/game_engines/rad-engine-4-dot-0,c2d15e00-f17d-5351-4e19-1d3824deee99,,,
596,1536868599,FAudio,faudio,1536868599,https://www.igdb.com/game_engines/faudio,3f2d2d5e-7510-433a-a30c-02458ef5860c,,,
1680,1724244555,Xash 2019,xash-2019,1724244591,https://www.igdb.com/game_engines/xash-2019,6cbd4a71-bf9e-2604-ac0e-5538e9860e09,,,
232,1431311771,0gf3. gine,0gf3-gine,1431329130,https://www.igdb.com/game_engines/0gf3-gine,74034d31-5c81-ec42-9cf8-dfd41b45fffa,,,
1488,1679064532,Creation Engine 2,creation-engine-2,1693233464,https://www.igdb.com/game_engines/creation-engine-2,458ea43d-4f10-983b-74e6-c46e7751ad81,,0.0,
1603,1712305233,VCE,vce,1712541762,https://www.igdb.com/game_engines/vce,1bb0be7d-b219-20cd-3cb9-c245868aa5bb,[53943],0.0,"[3, 6, 8]"
1233,1619589318,MAGE,mage,1619589318,https://www.igdb.com/game_engines/mage,29ed75bd-2fda-de4f-bba0-51b86f20a8c7,,,
482,1498432525,CryEngine 3,cryengine-3,1707898590,https://www.igdb.com/game_engines/cryengine-3,d158d6fa-5861-9638-86c8-e3d510528588,[249],0.0,
483,1498738286,Intersect,intersect,1498738528,https://www.igdb.com/game_engines/intersect,cf258f3d-a32c-2f5c-6f00-a6a83a4cfa33,,,
362,1468957485,Foundation Engine,foundation-engine,1690773803,https://www.igdb.com/game_engines/foundation-engine,f1097cd9-90a1-7703-d5cf-1610e5815900,,,
985,1592455694,Logic Pro,logic-pro,1592463915,https://www.igdb.com/game_engines/logic-pro,fc8ff364-4c53-0151-3e1b-f3d8046728ae,,,
242,1433064341,Super Star Wars,super-star-wars,1433069304,https://www.igdb.com/game_engines/super-star-wars,f4c3d6f7-600e-dcdd-2dc3-217d2525cd2b,,,
253,1436876483,Unigine,unigine,1695192936,https://www.igdb.com/game_engines/unigine,c54e902a-fd97-1060-e582-2e53e06057fd,[742],0.0,"[3, 6, 14]"
973,1590908102,Sega ALLS,sega-alls,1705540336,https://www.igdb.com/game_engines/sega-alls,e18297ce-53e8-dd9b-2f73-deb71e054da5,,,
752,1571906168,The Alan Wake Engine,the-alan-wake-engine,1716921043,https://www.igdb.com/game_engines/the-alan-wake-engine,8f243371-f4e5-c985-be5d-d1b0567741c6,,,
395,1476286822,paprastas,paprastas,1476301903,https://www.igdb.com/game_engines/paprastas,65fec65f-09f1-5d1b-f988-289c7b1472d5,,,
1070,1599272912,XRay-Monolith,xray-monolith,1715955937,https://www.igdb.com/game_engines/xray-monolith,d1a8a2ff-d9c9-52ed-9f97-dfe3e5651d9c,,,
512,1506973906,Taito FX-1,taito-fx-1,1506974100,https://www.igdb.com/game_engines/taito-fx-1,df225bec-a5a4-2f2a-1d83-00fbe511759f,,,
521,1509948395,Blukpast (homebrew),blukpast-homebrew,1509973136,https://www.igdb.com/game_engines/blukpast-homebrew,3371d705-6051-9e2a-58cc-aec3e5a9df3d,,,
202,1428757682,ioquake3,ioquake3,1718825380,https://www.igdb.com/game_engines/ioquake3,395ce408-2fd0-05f6-1471-a6aad983c39e,,,
245,1434102373,Europa,europa,1434102546,https://www.igdb.com/game_engines/europa,b6c4d940-6eac-5943-af24-88b874c1b884,,,
1489,1679271047,Fusion Engine,fusion-engine,1719279827,https://www.igdb.com/game_engines/fusion-engine,d58cd1cd-3299-0a90-6e48-b6937bb43eb5,,,
107,1414934195,Firaxis LORE,firaxis-lore,1725464318,https://www.igdb.com/game_engines/firaxis-lore,b7ddc9b1-86b7-421f-06ce-5a800786035c,,,
207,1428776432,Genie Engine,genie-engine,1617952200,https://www.igdb.com/game_engines/genie-engine,9b525302-4fe6-84aa-1b06-7517b083b785,,,
587,1531326315,EGO Engine,ego-engine--2,1652707661,https://www.igdb.com/game_engines/ego-engine--2,6e362305-6e53-f28c-7e5e-9a539513661e,,,
1263,1623298015,Oynx Game Solutions,oynx-game-solutions,1623313866,https://www.igdb.com/game_engines/oynx-game-solutions,a4e55b33-90d2-9a3c-fa1a-8ed50e88b50c,,,
1667,1721097141,Rom Manager 2 C,rom-manager-2-c,1721098879,https://www.igdb.com/game_engines/rom-manager-2-c,d8ce3c63-5b09-fa31-f38d-fba4154aee13,[43634],,[6]
759,1573857694,proprietary engine [ by Grinding Gear Games ],proprietary-engine-by-grinding-gear-games,1573892795,https://www.igdb.com/game_engines/proprietary-engine-by-grinding-gear-games,a75b1912-cdb2-ed5e-d209-a05695294285,,,
781,1576013265,Descent Engine,descent-engine,1576053603,https://www.igdb.com/game_engines/descent-engine,a0616e02-502e-a856-758b-d9b2d14b95db,,,
88,1414537385,Genome,genome,1721724646,https://www.igdb.com/game_engines/genome,dcad536b-5e28-8719-5ef7-a62efcb2320e,,,
825,1578890152,MADNESS Engine,madness-engine,1593708573,https://www.igdb.com/game_engines/madness-engine,1c5ce052-e2fc-d388-7dc8-696a9ed95830,,,
1045,1595974431,Eco-Motion Engine,eco-motion-engine,1596034464,https://www.igdb.com/game_engines/eco-motion-engine,334332d9-0044-71a5-86f1-95b0769223c9,,,
467,1494603365,BTZ,btz,1494603654,https://www.igdb.com/game_engines/btz,d4a5d006-2e42-1878-8a4f-71f4a71d4c3e,,,
539,1515000066,C4 Engine,c4-engine,1665106655,https://www.igdb.com/game_engines/c4-engine,57ab48fe-df66-432d-ffd9-8608230a3948,,,
1071,1599290138,NekoSDK,nekosdk,1599469381,https://www.igdb.com/game_engines/nekosdk,f32a759d-9fe0-2c27-1072-0c2ec3276e85,,,
1330,1631109350,Neptune,neptune,1631173108,https://www.igdb.com/game_engines/neptune,bb0de325-2885-f72b-ae95-f1a5eb8bf224,,,
249,1434701201,Forsaken World Engine,forsaken-world-engine,1434705399,https://www.igdb.com/game_engines/forsaken-world-engine,17e6d6ef-dafe-351b-d396-d48e158b8ca0,,,
516,1508422775,Krome Studios Engine,krome-studios-engine,1638828488,https://www.igdb.com/game_engines/krome-studios-engine,879a621e-b108-ec01-7d0f-4ff26257bca7,,,
1288,1626801626,SUGAR,sugar,1710968719,https://www.igdb.com/game_engines/sugar,989ce04a-e592-8333-b533-9ab114c028e8,,,
