genres,first_release_date,name,slug,itad_id,release_price
[5],2005-09-22,Raiden III,raiden-iii,018d937f-18f0-724d-a62c-4efb2b715db2,9.99
"[9, 13, 15, 16, 24, 31, 32]",2018-03-08,Chessaria: The Tactical Adventure,chessaria-the-tactical-adventure,018d937f-15c4-71ad-87a3-19909a859715,24.99
"[11, 15, 25]",2005-09-20,Kingdom Under Fire: Heroes,kingdom-under-fire-heroes,018d937f-42ba-7059-b01e-c365b30bd7e9,19.99
"[4, 25, 31]",2014-10-21,The Legend of Korra,the-legend-of-korra,018d937f-0a7e-73e9-895e-166739a444be,14.99
"[5, 15, 32]",2011-04-15,Sanctum,sanctum,018d937e-f96e-7180-950f-f9d4ab6c3f07,9.99
"[5, 32]",2016-07-12,MilitAnt,militant,018d937e-f4ac-7133-afb7-17f8c3d37182,9.99
"[8, 12, 31, 32, 33]",2022-02-14,Infernax,infernax,018d937f-191e-7164-a7f7-c07285279473,19.99
"[13, 15, 32]",2023-10-04,The Fabulous Fear Machine,the-fabulous-fear-machine,018d937f-5e42-70de-91f9-a319d7df2b2b,17.99
"[5, 9]",2006-07-11,Prey,prey,018d937f-00cb-710a-9a4c-f7c1c558b97d,19.95
"[5, 8, 15, 31, 32]",2020-01-30,Hypercharge: Unboxed,hypercharge-unboxed,018d937e-f02b-70f6-bbc6-8bc38ea87627,19.99
"[5, 9, 31, 32]",2021-08-27,Tormented Souls,tormented-souls,018d937f-45f8-7060-83a9-1838c67c6e08,19.99
"[15, 35]",2024-05-23,Zet Zillions,zet-zillions,018d937f-79dc-7180-922c-30934b7865c1,9.99
[5],2007-09-07,Stranglehold,stranglehold,018d937f-3ad8-72ea-a621-0fc3b8126234,9.99
"[12, 15, 31, 32]",2021-10-19,Undying,undying,018d937f-1e98-7204-9325-3e3299ee55dd,19.99
"[4, 25]",2013-02-27,Phantom Breaker: Battle Grounds,phantom-breaker-battle-grounds,018d937f-0df3-730e-ae00-cdaa299bd332,11.99
"[12, 15, 16]",2006-05-16,Heroes of Might and Magic V,heroes-of-might-and-magic-v,018d937f-267d-7214-a569-f10a2f8f2948,9.99
"[12, 25, 31, 32]",2023-05-04,Metal Mutation,metal-mutation,018d937f-6a28-710a-8d19-44c440ec9abc,16.99
"[5, 9]",2003-06-20,Star Trek: Elite Force II,star-trek-elite-force-ii,018d937f-55a6-72a1-9133-fde8c77e6e77,9.99
"[5, 12, 31]",2019-11-14,Terminator: Resistance,terminator-resistance,018d937f-3877-70f6-874e-b89cb8c1cb02,39.99
"[12, 15, 31, 32]",2018-08-13,Sword Legacy: Omen,sword-legacy-omen,018d937f-03f5-708a-b6f6-04f2fb8900cf,17.99
"[5, 13, 15, 24, 32, 33]",2019-09-19,Police Stories,police-stories,018d937f-305c-71d7-9582-c9c348919ea8,14.99
"[4, 8, 25, 31, 32, 33]",2021-10-20,They Always Run,they-always-run,018d937f-4edf-7292-8ac4-c51b8a668f6b,19.99
[9],2003-02-25,Bookworm,bookworm,018d937e-ff14-72b8-ba5b-2c7fbf2bb814,19.99
[12],2024-04-26,Sand Land,sand-land,018d937f-6eee-70ae-ad31-c1677f6e6ad1,59.99
"[12, 15, 32]",2024-07-23,CrossOver: Roll For Initiative,crossover-roll-for-initiative,018d937f-6d2c-72d7-b8d4-827964b72dfb,9.99
"[31, 32]",2023-10-24,Scene Investigators,scene-investigators,018d937f-47cd-706a-be63-a90b64767e6e,24.99
"[11, 13, 15]",2002-12-29,Impossible Creatures,impossible-creatures,018d937f-30b5-7109-b5eb-dcf1e7586e81,9.99
"[8, 9, 32]",2014-10-08,Team Indie,team-indie,018d937f-1793-7160-b697-cbfdbd3a95b9,12.99
"[9, 13, 31, 32]",2023-11-29,The Exit 8,the-exit-8,018d937f-784c-732f-932c-11bb08ef0756,3.99
"[13, 31, 32]",2016-01-15,Paradise Lost: FPS Cosmic Horror Game,paradise-lost-fps-cosmic-horror-game,018d937f-20bb-7085-9537-d504fbcb0595,8.99
"[12, 31]",2014-11-11,Assassin's Creed Rogue,assassins-creed-rogue,018d937e-f9bd-732a-8129-55703fce0e08,57.46
"[5, 33]",2019-10-15,Zombieland: Double Tap - Road Trip,zombieland-double-tap-road-trip,018d937f-39a4-73cf-aae1-5556a5143020,39.99
"[9, 12, 31, 32]",2018-02-13,The Fall Part 2: Unbound,the-fall-part-2-unbound,018d937f-1200-72e5-9b11-b70e8b8aa89f,16.99
"[12, 31, 32]",2018-07-19,Tanzia,tanzia,018d937f-2d20-730d-a598-10e61c838b2b,14.99
"[5, 32, 33]",2020-07-01,The Otterman Empire,the-otterman-empire,018d937f-3a73-723b-a37a-5a4a4a2220db,24.99
"[15, 16, 32, 35]",2023-01-26,Power Chord,power-chord,018d937f-6993-7288-8655-db32ff43c859,19.99
"[5, 13, 15, 32]",2017-01-28,Gunman Taco Truck,gunman-taco-truck,018d937f-09c9-728a-81df-6a6152bc9d78,4.99
"[11, 15, 24]",2024-02-21,Terminator: Dark Fate - Defiance,terminator-dark-fate-defiance,018d937f-5b0b-70c6-a501-e6d089d0f7f4,39.99
"[5, 25, 32]",2024-07-11,Anger Foot,anger-foot,018d937f-4d16-7170-9805-0fa68c149225,24.99
"[12, 16, 31]",2019-11-15,Pokémon Shield,pokemon-shield,018d937f-3a69-719a-a766-acba4eb88e9f,59.99
"[13, 35]",2024-04-25,Demon Slayer: Kimetsu no Yaiba - Sweep the Board!,demon-slayer-kimetsu-no-yaiba-sweep-the-board,018f7cfb-c338-723c-a189-8e5cdb36fc65,59.99
"[8, 9, 31, 32]",2016-08-23,Valley,valley,018d937f-3614-7014-b3da-a496edab8c41,19.99
"[12, 13, 15]",2005-12-31,Star Wolves,star-wolves,018d937f-2b07-716f-87f7-2e7c4bfbd584,9.99
"[5, 32]",2011-06-08,Jamestown: Legend of the Lost Colony,jamestown-legend-of-the-lost-colony,018d937f-1226-7249-94d2-bdc4d83aca1b,9.95
"[9, 33]",2020-12-07,Puyo Puyo Tetris 2,puyo-puyo-tetris-2,018d937f-464c-7110-abf3-6b56215762b5,39.99
"[9, 31, 32]",2016-04-12,Zenge,zenge,018d937f-12f5-7167-81b9-cbb12d20f794,0.99
